Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
44,Male,United States,No,Yes,Yes,Sometimes, 1000+,No,No,Yes,No,No,Unknown,Don't know,Unknown,Yes,Unknown,Unknown,No,No,Maybe,Unknown,Yes
26,Other,Poland,No,No,Yes,Sometimes, 26-100,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
27,Male,United Kingdom,No,No,No,Never, 100-500,No,Yes,Yes,Unknown,No,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
26,Male,France,No,No,No,Unknown, 26-100,No,Yes,No,No,No,No,Don't know,Very easy,Yes,No,No,No,No,No,No,Yes
35,Male,Canada,No,No,No,Sometimes, 6-25,No,Yes,Unknown,No,No,No,Don't know,Somewhat easy,No,No,Unknown,Yes,No,Maybe,Unknown,No
40,Male,United States,No,Yes,No,Sometimes, 1000+,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Unknown,Yes,Unknown,Unknown,No,No,No,No,Yes
23,Other,Australia,No,Yes,Yes,Often, 1-5,Yes,Yes,No,Unknown,No,No,Don't know,Very easy,No,No,Unknown,Yes,No,Maybe,Yes,No
36,Other,United States,No,No,No,Sometimes, 100-500,Yes,Yes,Yes,No,Unknown,Yes,Don't know,Unknown,Unknown,No,Unknown,Unknown,Maybe,Yes,Yes,No
31,Other,United States,No,No,No,Unknown, 26-100,Yes,No,Unknown,No,Unknown,Unknown,Don't know,Unknown,Unknown,No,Unknown,No,No,Maybe,Unknown,No
34,Male,United States,Yes,No,No,Rarely, 1-5,Yes,Yes,No,No,No,No,Don't know,Unknown,Unknown,No,Unknown,No,No,No,Unknown,No
28,Other,France,No,No,No,Never, 26-100,No,Yes,No,No,No,No,Don't know,Unknown,Unknown,No,Unknown,Unknown,No,No,Unknown,No
34,Male,Canada,No,No,No,Never, 6-25,No,Yes,Unknown,Unknown,Unknown,Unknown,Don't know,Somewhat easy,No,No,Unknown,Yes,No,No,Unknown,No
23,Other,United States,No,No,No,Rarely, 1000+,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Unknown,No,Yes,Yes,No,No,No,No
38,Male,United Kingdom,No,No,No,Unknown, 26-100,No,Yes,No,No,No,Unknown,Yes,Somewhat easy,No,No,Unknown,Yes,Maybe,Yes,Yes,No
33,Male,United States,No,No,No,Never, 1000+,No,Yes,Unknown,Unknown,Yes,Unknown,Don't know,Unknown,Unknown,No,Unknown,Unknown,No,Maybe,Yes,No
19,Male,United Kingdom,No,No,No,Unknown, 1-5,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No
25,Male,United States,No,No,No,Unknown, 1000+,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Unknown,No,No,Yes,Yes,Maybe,Yes,Yes,No
31,Male,United States,Yes,Yes,No,Sometimes, 1-5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No
32,Male,United States,No,Yes,Yes,Sometimes, 26-100,Yes,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,No,Unknown,No,No,Yes,No,No
28,Other,Germany,No,No,No,Never, 6-25,Yes,Yes,Unknown,No,Unknown,Unknown,Don't know,Very easy,No,No,Unknown,Unknown,Maybe,Yes,Yes,No
38,Male,United States,No,Yes,No,Sometimes, 100-500,Yes,Yes,Yes,Yes,No,Yes,Don't know,Unknown,No,No,Yes,Unknown,Maybe,Maybe,Yes,No
23,Male,United Kingdom,No,No,No,Never, 26-100,No,Yes,Yes,Unknown,Yes,Unknown,Don't know,Very easy,No,No,Unknown,Yes,Maybe,Maybe,Yes,No
30,Male,Canada,No,No,No,Never, 26-100,No,No,No,No,No,No,Don't know,Unknown,No,No,Unknown,Yes,No,No,No,No
27,Other,United States,Yes,No,Yes,Often, 1-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Unknown,Unknown,Unknown,Yes,No,Maybe,Yes,No
33,Male,United States,No,Yes,No,Never, 1000+,No,Yes,No,No,No,No,Don't know,Unknown,Yes,No,No,No,No,Maybe,No,No
31,Male,United States,No,No,No,Unknown, 26-100,No,Yes,Unknown,Unknown,No,No,Don't know,Unknown,No,No,Unknown,Yes,Maybe,Maybe,No,No
39,Male,United Kingdom,Yes,No,Yes,Often, 6-25,No,Yes,No,No,No,No,Don't know,Very difficult,Unknown,No,Unknown,No,No,Maybe,No,Yes
34,Other,United States,No,Yes,Yes,Rarely, 500-1000,Yes,Yes,Yes,Unknown,No,Unknown,Don't know,Unknown,Yes,Unknown,Unknown,Unknown,No,No,Unknown,No
29,Other,United States,No,No,Yes,Sometimes, 26-100,No,Yes,Yes,Yes,No,No,Don't know,Unknown,Unknown,No,Unknown,Unknown,No,Maybe,No,Yes
32,Other,United States,No,No,No,Unknown, 500-1000,No,Yes,Unknown,No,No,Unknown,Don't know,Unknown,No,No,Unknown,Unknown,No,No,Unknown,No
31,Male,United States,No,No,No,Never, 500-1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Unknown,Yes,No,No,Yes,No
40,Male,United States,No,No,Yes,Sometimes, 26-100,No,Yes,No,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No
34,Male,United States,No,No,No,Unknown, 26-100,No,Yes,Unknown,No,No,No,Don't know,Somewhat easy,Unknown,No,Unknown,No,No,Maybe,Unknown,No
18,Other,Russia,No,No,No,Unknown, 26-100,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Unknown,No
25,Other,Canada,No,No,Yes,Sometimes, 26-100,No,Yes,Yes,Yes,No,Unknown,Don't know,Unknown,Unknown,No,Unknown,Yes,No,Maybe,Unknown,No
29,Male,United States,No,No,No,Never, 26-100,No,Yes,Unknown,No,No,Unknown,Don't know,Unknown,No,No,Yes,Yes,Maybe,Maybe,No,No
24,Male,United States,No,Yes,No,Rarely, 26-100,No,Yes,Unknown,Unknown,No,Unknown,Don't know,Somewhat easy,Unknown,Unknown,Unknown,No,No,Maybe,Unknown,No
31,Male,Mexico,No,Yes,Yes,Sometimes, 6-25,No,Yes,Unknown,No,No,No,Don't know,Unknown,No,No,Unknown,Yes,Maybe,Yes,No,No
33,Other,United States,No,No,Yes,Sometimes, 6-25,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Unknown,No,Unknown,No,No,Maybe,No,No
30,Other,United States,No,No,Yes,Often, 1-5,No,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
26,Other,Canada,No,Yes,Yes,Sometimes, 26-100,No,No,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes
44,Other,United States,No,No,No,Never, 100-500,No,Yes,Yes,Unknown,Unknown,Unknown,Don't know,Unknown,Unknown,Unknown,No,Unknown,No,No,Unknown,No
25,Male,United States,No,Yes,No,Unknown, 26-100,No,Yes,Unknown,No,Unknown,Unknown,Don't know,Very easy,No,No,Unknown,Yes,No,No,Unknown,No
33,Male,United States,No,Yes,Yes,Sometimes, 26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Unknown,Yes,Maybe,Maybe,Yes,No
29,Male,United States,No,No,No,Never, 1000+,No,Yes,Yes,Unknown,Yes,Unknown,Don't know,Somewhat easy,No,No,Unknown,Yes,No,No,Unknown,No
35,Male,United States,No,Yes,No,Rarely, 6-25,No,Yes,Yes,Unknown,No,No,Yes,Somewhat easy,No,No,Unknown,Yes,No,No,Unknown,No
35,Other,United States,No,Yes,Yes,Sometimes, 26-100,Yes,Yes,Unknown,Unknown,No,No,Don't know,Somewhat easy,No,No,Unknown,Yes,No,Maybe,No,No
28,Male,Brazil,No,Yes,Yes,Rarely, 6-25,No,Yes,No,No,No,No,No,Unknown,Unknown,No,Yes,Yes,No,No,Unknown,Yes
34,Other,United States,No,Yes,No,Never, 6-25,Yes,Yes,Yes,No,No,No,Don't know,Unknown,Unknown,No,No,No,No,No,Unknown,No
32,Male,United States,No,No,Yes,Sometimes, 26-100,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat difficult,Unknown,No,Unknown,Yes,No,Maybe,Yes,No
22,Male,United States,No,No,Yes,Sometimes, 500-1000,No,Yes,Yes,Yes,No,Unknown,Yes,Unknown,Yes,No,No,No,No,Yes,No,No
28,Male,United States,No,No,Yes,Sometimes, 26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Unknown,Unknown,No,Maybe,Yes,No
45,Male,United States,No,Yes,Yes,Rarely, 6-25,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
32,Male,United States,No,No,No,Never, 100-500,No,Yes,Yes,Yes,No,Unknown,Don't know,Unknown,Unknown,No,Unknown,Unknown,No,No,Unknown,No
28,Male,United States,No,No,No,Unknown, 1000+,No,Yes,Unknown,No,No,Unknown,Don't know,Unknown,Unknown,No,Unknown,No,No,Maybe,Unknown,No
26,Male,United Kingdom,No,No,No,Never, 6-25,No,Yes,Unknown,No,No,Unknown,Don't know,Very easy,No,No,Unknown,Unknown,No,No,Unknown,Yes
21,Male,United Kingdom,Yes,No,No,Often, 1-5,Yes,No,No,Yes,No,No,Yes,Very difficult,Yes,No,Unknown,Yes,No,Maybe,No,No
27,Male,Canada,No,No,No,Rarely, 6-25,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,Unknown,No,Unknown,Yes,No,No,Unknown,No
18,Male,United States,No,No,Yes,Rarely, 1-5,Yes,Yes,No,No,No,No,Yes,Very easy,No,No,Unknown,No,No,No,Unknown,No
35,Male,United States,No,No,No,Unknown, 26-100,Yes,Yes,Unknown,Unknown,No,Unknown,Don't know,Unknown,No,No,Unknown,Yes,Maybe,Maybe,Unknown,No
29,Male,United States,No,No,No,Never, 1000+,No,Yes,Yes,Yes,No,Yes,Don't know,Unknown,Yes,Yes,No,No,No,No,Unknown,No
25,Male,United States,No,No,No,Unknown, 26-100,Yes,Yes,Unknown,No,No,No,Don't know,Very easy,No,No,Unknown,Yes,No,No,Unknown,No
33,Male,United States,No,Yes,Yes,Sometimes, 6-25,Yes,Yes,Unknown,No,Unknown,Unknown,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No
36,Male,United States,No,No,No,Often, 6-25,No,Yes,Yes,No,No,No,Yes,Unknown,Unknown,No,No,No,No,No,Unknown,No
27,Male,Canada,No,No,Yes,Never, 100-500,No,No,Yes,Unknown,No,No,Don't know,Very difficult,Unknown,No,Unknown,Yes,No,Maybe,No,Yes
27,Male,United States,No,Yes,No,Never, 500-1000,No,Yes,Yes,No,Yes,Yes,Yes,Unknown,Yes,No,Unknown,No,No,Yes,Unknown,No
27,Male,United Kingdom,No,No,No,Unknown, 6-25,No,Yes,No,No,No,No,Don't know,Unknown,No,No,Unknown,Unknown,No,No,Unknown,No
32,Other,United States,No,No,Yes,Rarely, 100-500,No,Yes,Yes,Yes,No,Yes,Yes,Unknown,Yes,No,No,Yes,No,No,Unknown,No
31,Male,United Kingdom,No,Yes,No,Sometimes, 6-25,No,Yes,No,No,No,No,Don't know,Somewhat easy,Unknown,Unknown,No,No,No,No,Yes,No
19,Male,Slovenia,No,No,Yes,Sometimes, 6-25,No,Yes,Unknown,No,No,No,Don't know,Somewhat easy,Yes,Yes,Unknown,No,No,No,Unknown,No
33,Male,United States,No,Yes,Yes,Sometimes, 1000+,No,Yes,Yes,Yes,No,No,Don't know,Very easy,Unknown,No,Yes,Unknown,No,Yes,No,No
32,Male,United States,No,No,No,Rarely, 1-5,Yes,Yes,No,Yes,No,No,Don't know,Very difficult,Unknown,No,Yes,Unknown,No,Yes,Unknown,No
27,Male,United States,No,No,No,Never, 26-100,No,Yes,Unknown,Unknown,Unknown,Unknown,Don't know,Unknown,No,No,Yes,Yes,Maybe,Maybe,Unknown,No
38,Male,Costa Rica,No,No,No,Unknown, 26-100,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,No,No
24,Male,Canada,No,No,Yes,Never, 26-100,No,Yes,Unknown,No,No,No,Don't know,Unknown,No,No,Unknown,Yes,Maybe,Yes,Unknown,No
39,Other,United Kingdom,No,No,No,Never, 26-100,No,No,No,No,No,No,Don't know,Unknown,Yes,Unknown,No,No,No,No,Unknown,No
28,Male,United Kingdom,No,No,No,Never, 6-25,No,Yes,Unknown,No,No,No,Yes,Very easy,No,No,Unknown,Yes,Maybe,Maybe,Yes,No
39,Male,United States,No,No,Yes,Often, 1000+,No,Yes,Yes,Unknown,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Unknown,No
29,Other,United States,No,No,No,Unknown, 6-25,No,Yes,Unknown,No,No,Unknown,Don't know,Somewhat easy,Unknown,No,Unknown,No,No,No,Unknown,No
22,Other,Austria,No,No,No,Unknown, 6-25,Yes,Yes,Unknown,No,Unknown,No,Don't know,Somewhat easy,No,No,Unknown,Unknown,No,No,Unknown,No
38,Male,United States,No,Yes,Yes,Sometimes, 100-500,No,Yes,Unknown,No,Unknown,Unknown,Don't know,Unknown,Unknown,No,Unknown,Yes,No,No,Unknown,No
37,Male,United Kingdom,Yes,No,Yes,Sometimes, 1000+,No,No,No,Yes,Yes,Yes,Yes,Very difficult,Yes,Yes,Unknown,No,No,Maybe,Yes,No
35,Other,United States,No,No,No,Never, 26-100,Yes,No,Unknown,Unknown,Unknown,Unknown,Don't know,Unknown,Yes,No,Unknown,No,No,Maybe,Unknown,No
30,Other,United States,No,Yes,No,Unknown, 1000+,Yes,Yes,Unknown,Unknown,No,Unknown,Don't know,Unknown,Unknown,Unknown,Unknown,Unknown,No,Maybe,Unknown,No
37,Male,United States,No,Yes,Yes,Rarely, 100-500,No,No,Yes,Yes,Yes,Yes,Don't know,Somewhat easy,Unknown,Unknown,Unknown,Yes,Maybe,Maybe,Unknown,No
24,Other,United Kingdom,No,No,No,Never, 6-25,No,Yes,No,No,No,No,Yes,Unknown,Unknown,Unknown,No,Unknown,No,No,Unknown,No
23,Male,United States,No,No,No,Sometimes, 6-25,No,No,No,No,No,No,No,Somewhat easy,Yes,Yes,No,No,No,No,No,No
30,Male,Ireland,No,No,Yes,Rarely, 100-500,No,Yes,No,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,No,Unknown,No,No,No,No,Yes
29,Other,United States,No,No,No,Unknown, 100-500,Yes,Yes,Unknown,Unknown,No,Unknown,Don't know,Unknown,Unknown,No,No,Unknown,No,Maybe,Unknown,No
19,Male,Canada,Yes,Yes,No,Unknown, 1-5,Yes,Yes,Unknown,Unknown,No,Yes,Yes,Somewhat easy,Unknown,No,Unknown,Unknown,Maybe,Maybe,Unknown,No
32,Male,United States,No,Yes,No,Never, 26-100,No,Yes,Unknown,Unknown,No,No,Don't know,Very easy,No,No,Unknown,Unknown,No,Maybe,No,No
28,Male,Poland,No,No,No,Rarely, 6-25,Yes,Yes,No,No,No,No,Don't know,Unknown,No,No,Yes,Yes,Maybe,Yes,Yes,No
36,Male,United States,No,No,No,Never, 6-25,No,Yes,Unknown,Unknown,Unknown,Unknown,Don't know,Unknown,No,No,Unknown,Unknown,Maybe,Maybe,Unknown,No
37,Male,United Kingdom,No,Yes,Yes,Rarely, 1000+,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,Unknown,Unknown,No,No,Yes,No,Yes
25,Male,United States,No,Yes,Yes,Sometimes, 26-100,No,No,Unknown,No,No,Unknown,Don't know,Somewhat difficult,Unknown,No,Unknown,Unknown,No,Maybe,No,No
27,Male,United States,No,Yes,Yes,Sometimes, 1000+,No,Yes,Unknown,No,No,Unknown,Don't know,Unknown,No,No,No,Unknown,No,Maybe,Unknown,No
26,Male,United States,No,No,No,Often, 26-100,No,No,Unknown,Unknown,No,No,Don't know,Unknown,Yes,Unknown,Unknown,Yes,No,Maybe,No,No
27,Male,United States,No,No,Yes,Rarely, 26-100,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Unknown,No,Unknown,Yes,No,No,Unknown,Yes
25,Male,United States,No,Yes,Yes,Sometimes, 26-100,No,Yes,Unknown,Unknown,No,No,Don't know,Very easy,Unknown,No,Unknown,No,No,No,Unknown,Yes
36,Male,United Kingdom,No,No,Yes,Sometimes, 1000+,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Unknown,Unknown,Unknown,Unknown,No,Maybe,Unknown,Yes
25,Other,United States,No,Yes,Yes,Sometimes, 500-1000,No,Yes,Yes,No,No,No,Don't know,Unknown,Yes,Yes,Unknown,Unknown,No,No,Unknown,No
31,Other,United States,No,No,No,Never, 1000+,No,Yes,Yes,No,No,Yes,Don't know,Unknown,No,No,Unknown,Unknown,No,No,Unknown,No
26,Male,United States,No,Yes,No,Rarely, 6-25,No,Yes,Unknown,No,No,No,Don't know,Unknown,Unknown,No,Unknown,Yes,No,No,Unknown,No
33,Other,United States,Yes,Yes,Yes,Sometimes, 1-5,No,Yes,No,Yes,Yes,Yes,Yes,Very difficult,No,No,Unknown,Yes,No,Yes,Yes,No
